filename,zoom,xtile,ytile,topLeftLat,topLeftLong,botRightLat,botRightLong
14-8402-5492.png,14,8402,5492,50.90303283111257,4.6142578125,50.889174048903314,4.63623046875
14-8402-5493.png,14,8402,5493,50.889174048903314,4.6142578125,50.87531114220076,4.63623046875
14-8402-5494.png,14,8402,5494,50.87531114220076,4.6142578125,50.86144411058923,4.63623046875
14-8402-5495.png,14,8402,5495,50.86144411058923,4.6142578125,50.84757295365388,4.63623046875
14-8403-5491.png,14,8403,5491,50.91688748924506,4.63623046875,50.90303283111257,4.658203125
14-8403-5492.png,14,8403,5492,50.90303283111257,4.63623046875,50.889174048903314,4.658203125
14-8403-5493.png,14,8403,5493,50.889174048903314,4.63623046875,50.87531114220076,4.658203125
14-8403-5494.png,14,8403,5494,50.87531114220076,4.63623046875,50.86144411058923,4.658203125
14-8403-5495.png,14,8403,5495,50.86144411058923,4.63623046875,50.84757295365388,4.658203125
14-8404-5491.png,14,8404,5491,50.91688748924506,4.658203125,50.90303283111257,4.68017578125
14-8404-5492.png,14,8404,5492,50.90303283111257,4.658203125,50.889174048903314,4.68017578125
14-8404-5493.png,14,8404,5493,50.889174048903314,4.658203125,50.87531114220076,4.68017578125
14-8404-5494.png,14,8404,5494,50.87531114220076,4.658203125,50.86144411058923,4.68017578125
14-8404-5495.png,14,8404,5495,50.86144411058923,4.658203125,50.84757295365388,4.68017578125
14-8405-5491.png,14,8405,5491,50.91688748924506,4.68017578125,50.90303283111257,4.7021484375
14-8405-5492.png,14,8405,5492,50.90303283111257,4.68017578125,50.889174048903314,4.7021484375
14-8405-5493.png,14,8405,5493,50.889174048903314,4.68017578125,50.87531114220076,4.7021484375
14-8405-5494.png,14,8405,5494,50.87531114220076,4.68017578125,50.86144411058923,4.7021484375
14-8405-5495.png,14,8405,5495,50.86144411058923,4.68017578125,50.84757295365388,4.7021484375
14-8406-5491.png,14,8406,5491,50.91688748924506,4.7021484375,50.90303283111257,4.72412109375
14-8406-5492.png,14,8406,5492,50.90303283111257,4.7021484375,50.889174048903314,4.72412109375
14-8406-5493.png,14,8406,5493,50.889174048903314,4.7021484375,50.87531114220076,4.72412109375
14-8406-5494.png,14,8406,5494,50.87531114220076,4.7021484375,50.86144411058923,4.72412109375
14-8406-5495.png,14,8406,5495,50.86144411058923,4.7021484375,50.84757295365388,4.72412109375
14-8407-5491.png,14,8407,5491,50.91688748924506,4.72412109375,50.90303283111257,4.74609375
14-8407-5492.png,14,8407,5492,50.90303283111257,4.72412109375,50.889174048903314,4.74609375
14-8407-5493.png,14,8407,5493,50.889174048903314,4.72412109375,50.87531114220076,4.74609375
14-8407-5494.png,14,8407,5494,50.87531114220076,4.72412109375,50.86144411058923,4.74609375
14-8407-5495.png,14,8407,5495,50.86144411058923,4.72412109375,50.84757295365388,4.74609375
14-8408-5491.png,14,8408,5491,50.91688748924506,4.74609375,50.90303283111257,4.76806640625
14-8408-5492.png,14,8408,5492,50.90303283111257,4.74609375,50.889174048903314,4.76806640625
14-8408-5493.png,14,8408,5493,50.889174048903314,4.74609375,50.87531114220076,4.76806640625
14-8408-5494.png,14,8408,5494,50.87531114220076,4.74609375,50.86144411058923,4.76806640625
14-8408-5495.png,14,8408,5495,50.86144411058923,4.74609375,50.84757295365388,4.76806640625
